Date,Predicted_LSTM,Real,Predicted_Transformer,Predicted_ARIMA,Predicted_Null
2024-01-16,518.4941,563.820007,565.6366196724958,521.2820346107276,547.099976
2024-01-17,536.9028,560.530029,562.382938036866,523.5027107202188,563.820007
2024-01-18,545.3896,571.070007,572.9518422689916,565.2165113538175,560.530029
2024-01-19,553.00775,594.909973,596.8145406778758,565.4493070796656,571.070007
2024-01-22,557.66797,596.539978,598.4789676000676,564.84679930494,594.909973
2024-01-23,563.1109,598.72998,600.7143372245978,564.6486084725148,596.539978
2024-01-24,573.13257,613.619995,615.6331785863134,566.0166245891863,598.72998
2024-01-25,579.40906,616.169983,618.2328877732757,599.6638529047659,613.619995
2024-01-26,591.6636,610.309998,612.4195976022515,600.0215229232934,616.169983
2024-01-29,603.73346,624.650024,626.7745643575824,600.866450332597,610.309998
2024-01-30,607.80475,627.73999,629.8889121023428,601.7388596142424,624.650024
2024-01-31,613.3904,615.27002,617.4480047091854,602.2248438649258,627.73999
2024-02-01,620.5225,630.27002,632.4519157384727,628.2180720243476,615.27002
2024-02-02,622.37866,661.599976,663.7914628287655,629.3025381713634,630.27002
2024-02-05,624.02924,693.320007,695.553065043184,629.496633523832,661.599976
2024-02-06,630.68646,682.22998,684.5099647211708,629.9670032690152,693.320007
2024-02-07,634.58026,700.98999,703.3115886219705,630.859217473424,682.22998
2024-02-08,641.97577,696.409973,698.8143745511479,680.9955499284068,700.98999
2024-02-09,662.36365,721.330017,723.8100897211835,681.1661980301903,696.409973
2024-02-12,683.6907,722.47998,725.0192553512835,682.9083085640481,721.330017
2024-02-13,696.8098,721.280029,723.8387694196414,685.9537248342622,722.47998
2024-02-14,699.1077,739.0,741.6001339142467,686.7703844423112,721.280029
2024-02-15,709.7544,726.580017,729.2103283667865,720.4267692936367,739.0
2024-02-16,715.5901,726.130005,728.798298616664,719.6361436087836,726.580017
2024-02-20,726.7941,694.52002,697.1942993715378,721.2669168719186,726.130005
2024-02-21,728.9416,674.719971,677.3793183871403,723.6144410231774,694.52002
2024-02-22,730.4725,785.380005,788.0129576898763,724.4614162193265,674.719971
2024-02-23,730.6991,788.169983,790.8147926298958,673.8787391107005,785.380005
2024-02-26,721.25397,790.919983,793.5978402523592,673.6070701451628,788.169983
2024-02-27,718.1289,787.01001,789.7235267237728,674.1344749053372,790.919983
2024-02-28,719.6905,776.630005,779.4298035073375,674.1306423477079,787.01001
2024-02-29,743.8266,791.119995,794.0632687742722,673.7413173410486,776.630005
2024-03-01,787.6382,822.789978,825.7377564724619,777.0502978990503,791.119995
2024-03-04,788.3084,852.369995,855.3387916433876,782.6234159227761,822.789978
2024-03-05,788.505,859.640015,862.6465474394136,788.4235860500073,852.369995
2024-03-06,789.96185,887.0,890.059782485013,788.9543357336145,859.640015
2024-03-07,797.99475,926.690002,929.8463750494412,785.0258004204743,887.0
2024-03-08,818.49854,875.280029,878.5558405423749,883.4853748751292,926.690002
2024-03-11,842.89575,857.73999,861.0805668391894,884.2119383680638,875.280029
2024-03-12,862.37,919.130005,922.4920108180016,888.9217104947676,857.73999
2024-03-13,874.3366,908.880005,912.2971757170204,891.4200293086444,919.130005
2024-03-14,886.5798,879.440002,882.8792775188884,891.3194082085591,908.880005
2024-03-15,889.3477,878.369995,881.7541223180301,903.0601805685016,879.440002
2024-03-18,874.29706,884.549988,887.9415932818282,909.3975605867207,878.369995
2024-03-19,880.0425,893.97998,897.4169627792887,905.3070770326838,884.549988
2024-03-20,895.14404,903.719971,907.125099471255,904.7428788018261,893.97998
2024-03-21,884.19354,914.349976,917.7352116926272,907.2314033176585,903.719971
2024-03-22,875.0479,942.890015,946.3009844293454,908.278299846787,914.349976
2024-03-25,878.8426,950.02002,953.480296932735,909.6839200353637,942.890015
2024-03-26,886.68225,925.609985,929.124154675442,908.2777427460592,950.02002
2024-03-27,896.78876,902.5,906.050114770862,906.6795779085727,925.609985
2024-03-28,907.6514,903.559998,,907.416026412263,902.5
